propId,label,description,label.desc,count,type,cluster id
P1001,applies to jurisdiction,"the item (an institution, law, ...) belongs to or applies to the value (a jurisdiction: a country, state, municipality, ...)","applies to jurisdiction the item (an institution, law, ...) belongs to or applies to the value (a jurisdiction: a country, state, municipality, ...)",4192,wikibase-item,cluster_0
P1002,engine configuration,configuration of an engine's cylinders,engine configuration configuration of an engine's cylinders,347,wikibase-item,cluster_0
P101,field of work,"fields of work related to this item (physics, history). For occupation like physicist, historian see P106. Note: Can be used in any item besides person","field of work fields of work related to this item (physics, history). For occupation like physicist, historian see P106. Note: Can be used in any item besides person",8877,wikibase-item,cluster_0
P1012,including,usually used as a qualifier,including usually used as a qualifier,11,wikibase-item,cluster_0
P1018,language regulatory body,regulatory body of a language,language regulatory body regulatory body of a language,98,wikibase-item,cluster_0
P102,member of political party,the political party of which this politician is or has been a member,member of political party the political party of which this politician is or has been a member,182969,wikibase-item,cluster_0
P1026,doctoral thesis,thesis that someone wrote to obtain a PhD degree,doctoral thesis thesis that someone wrote to obtain a PhD degree,23,wikibase-item,cluster_0
P1027,conferred by,person or organization who awards a prize to or bestows an honor upon a recipient,conferred by person or organization who awards a prize to or bestows an honor upon a recipient,776,wikibase-item,cluster_0
P1028,donated by,person or organization who donated the object,donated by person or organization who donated the object,127,wikibase-item,cluster_0
P1029,crew member,person that participated operating or serving aboard this vehicle,crew member person that participated operating or serving aboard this vehicle,1857,wikibase-item,cluster_0
P103,native language,language that a person learned natively,native language language that a person learned natively,4288,wikibase-item,cluster_0
P1033,GHS signal word,"please use with items warning"" (Q15350847) and ""danger"" (Q15221217)""","GHS signal word please use with items warning"" (Q15350847) and ""danger"" (Q15221217)""",14,wikibase-item,cluster_0
P1037,manager/director,person who manages any kind of group,manager/director person who manages any kind of group,766,wikibase-item,cluster_0
P1038,relative,"family member (qualify with type of kinship""P1039; for direct family member please use specific property)""P1039; for direct family member please use specific property)""","relative family member (qualify with type of kinship""P1039; for direct family member please use specific property)""P1039; for direct family member please use specific property)""",1626,wikibase-item,cluster_0
P1040,film editor,"person who worked with the raw footage, selecting shots and combining them into sequences to create a finished motion picture","film editor person who worked with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",831,wikibase-item,cluster_0
P1046,discovery method,way an exoplanet was discovered,discovery method way an exoplanet was discovered,28,wikibase-item,cluster_0
P1049,deity of,religion or group/civilization that worships a given deity,deity of religion or group/civilization that worships a given deity,356,wikibase-item,cluster_0
P105,taxon rank,level in a taxonomic hierarchy,taxon rank level in a taxonomic hierarchy,1923141,wikibase-item,cluster_0
P1050,medical condition,disease or other health problem affecting an individual human or other animal,medical condition disease or other health problem affecting an individual human or other animal,3846,wikibase-item,cluster_0
P1056,produces,"the material produced by a mine, an industrial site or a production process","produces the material produced by a mine, an industrial site or a production process",505,wikibase-item,cluster_0
P1057,chromosome,chromosome on which an entity is localized,chromosome chromosome on which an entity is localized,50600,wikibase-item,cluster_0
P106,occupation,"occupation of a person; see also field of work"" (Property:P101)""","occupation occupation of a person; see also field of work"" (Property:P101)""",1913712,wikibase-item,cluster_0
P1064,track gauge,spacing of the rails on a railway track,track gauge spacing of the rails on a railway track,5009,wikibase-item,cluster_0
P1066,student of,person who has taught this person,student of person who has taught this person,2004,wikibase-item,cluster_0
P1068,instruction set,instruction set on which the processor architecture is based,instruction set instruction set on which the processor architecture is based,46,wikibase-item,cluster_0
P107,(OBSOLETE) main type (GND),** Do not use ** Due to be deleted. Please use instance of (P31)/subclass of (P279),(OBSOLETE) main type (GND) ** Do not use ** Due to be deleted. Please use instance of (P31)/subclass of (P279),12978,wikibase-item,cluster_0
P1071,location of final assembly,place where the item was made; location of final assembly,location of final assembly place where the item was made; location of final assembly,1085,wikibase-item,cluster_0
P1072,readable file format,file format a program can open and read,readable file format file format a program can open and read,50,wikibase-item,cluster_0
P1073,writable file format,file format a program can create and/or write to,writable file format file format a program can create and/or write to,42,wikibase-item,cluster_0
P1074,fictional analog of,used to link a class of items appearing in a creative work with the analogous class of objects in the real world,fictional analog of used to link a class of items appearing in a creative work with the analogous class of objects in the real world,234,wikibase-item,cluster_0
P1075,rector,rector of a university,rector rector of a university,229,wikibase-item,cluster_0
P108,employer,organization for which the subject works or worked,employer organization for which the subject works or worked,88183,wikibase-item,cluster_0
P1080,from fictional universe,subject's fictional entity is in the object narrative. See also P1441 and P1445,from fictional universe subject's fictional entity is in the object narrative. See also P1441 and P1445,8142,wikibase-item,cluster_0
P110,illustrator,illustrator of a book,illustrator illustrator of a book,1977,wikibase-item,cluster_0
P111,measured physical quantity,physical property measured by a unit,measured physical quantity physical property measured by a unit,134,wikibase-item,cluster_0
P112,founder,"founder or co-founder of the organization, religion or place","founder founder or co-founder of the organization, religion or place",6360,wikibase-item,cluster_0
P113,airline hub,airport that serves as a hub for an airline,airline hub airport that serves as a hub for an airline,2047,wikibase-item,cluster_0
P1134,(OBSOLETE) located in place (use P276),"location of the item (such as village, neighborhood, park). In case of an administrative entity use P131. In case of a distinct terrain feature use P706.","(OBSOLETE) located in place (use P276) location of the item (such as village, neighborhood, park). In case of an administrative entity use P131. In case of a distinct terrain feature use P706.",8247,wikibase-item,cluster_0
P1137,fossil found in this unit,fossils that are found in this stratigraphic unit,fossil found in this unit fossils that are found in this stratigraphic unit,19,wikibase-item,cluster_0
P114,airline alliance,the alliance the airline belongs to,airline alliance the alliance the airline belongs to,244,wikibase-item,cluster_0
P1142,political ideology,political ideology of this organization,political ideology political ideology of this organization,6446,wikibase-item,cluster_0
P1145,Lagrangian point,libration point of an object (default: object-sun-earth),Lagrangian point libration point of an object (default: object-sun-earth),25,wikibase-item,cluster_0
P115,home venue,home stadium or venue of a sports team or applicable performing arts organization,home venue home stadium or venue of a sports team or applicable performing arts organization,5407,wikibase-item,cluster_0
P1158,location of landing,location where the craft landed,location of landing location where the craft landed,14,wikibase-item,cluster_0
P1165,home world,home world/planet of a fictional race or character,home world home world/planet of a fictional race or character,23,wikibase-item,cluster_0
P118,league,league in which the team plays or has played in,league league in which the team plays or has played in,11335,wikibase-item,cluster_0
